path	size	first_line
./ECOSYSTEM_IMPORTANT_DOCS_INDEX_LOCKED_v1.md	4.0K	# Ecosystem important docs — index (LOCKED pointer)
./ECOSYSTEM_STATUS.md	8.0K	# Ecosystem Status (generated — do not edit by hand)
./ENFORCEMENT-6MO-MASTER-PLAN-v1.md	 24K	# ENFORCEMENT-6MO MASTER EXECUTION PLAN
./ENFORCEMENT-6MO-VC-ROADMAP-v1.md	 28K	# ENFORCEMENT-6MO — VC-GRADE EXECUTION ROADMAP
./ENFORCE_BYPASS_MAP_LOCKED_v1.md	4.0K	# ENFORCE bypass map (LOCKED v1)
./FOUNDER_AGENT_USE_GUIDE_LOCKED_v1.md	8.0K	# Founder — Agents Window use guide (LOCKED)
./FOUNDER_BRAIN_MAINTAINER_STRATEGIC_EXTRACTION_100M_v2.md	 24K	# Founder × Brain × Maintainer — Strategic Extraction toward $100M Sig
./FOUNDER_BUSY_OPERATING_MODEL_REPORT_LOCKED_v1.md	4.0K	# Operating Model SSOT — root pointer (LOCKED)
./FOUNDER_DAILY_PROMPT_PACK_LOCKED_v1.md	4.0K	# Founder daily prompt pack (LOCKED — v1 · v2 · v3)
./FOUNDER_FIRST_ASSISTANT_TRACKING_LAW_LOCKED_v1.md	4.0K	# Founder First Assistant — Tracking Law (LOCKED)
./FOUNDER_NO_CREDIT_CARD_INFRA_LOCKED_v1.md	4.0K	# Founder rule — NO credit card / FREE infra only (LOCKED)
./FOUNDER_SAVE_AND_LOCK_IMMEDIATE_APP_LAW_LOCKED_v1.md	4.0K	# Founder save & lock — immediate file + app law (LOCKED)
./FULL_STACK_ACTIVATION.md	4.0K	# Full Stack Activation — Brain/Worker Run This Once
./GOVERNANCE_DRIFT_DETECTION_INSIGHTS_2026.md	4.0K	# MOVED — Canonical copy under Noetfield Runtime agent vault
./GOVERNANCE_DRIFT_ENGINE_LOCKED_v1.md	4.0K	# Governance Drift Engine (LOCKED)
./GOVERNANCE_UNIFICATION_ENGINE_LOCKED_v1.md	 12K	# Governance Unification Engine (LOCKED)
./HONEST_P0_SCREEN_LOCKED_v1.md	4.0K	# Honest P0 screen (pointer)
./HUB_LITE_REBUILD_PHASE0_LOCKED_v1.md	4.0K	# HUB-LITE-REBUILD Phase 0 — LOCKED v1
./HUB_PROOF_UX_P0_LOCKED_v1.md	4.0K	# Hub proof UX P0 — LOCKED v1
./HUB_SOURCE_UI_ALIGNMENT_PROCEDURE_LOCKED_v1.md	8.0K	# Hub ↔ Source ↔ UI Alignment Procedure (LOCKED)
./HUB_STABILIZATION_v5.1_FINAL.md	 24K	# HUB_STABILIZATION_v5.1_FINAL
./HUB_WORKER_ONLY_ARCHIVED_MONOLITH_LOCKED_v1.md	4.0K	# Worker Hub only — monolith archived — LOCKED v1
./IPHONE_CLOUD_ORGANIZATION_SPEC_LOCKED_v1.md	 12K	# iPhone Cloud — organization spec (LOCKED)
./LLM_CONTEXT_PACKET_SCHEMA_LOCKED_v1.md	4.0K	# LLM Context Packet — Schema Contract (LOCKED v1)
./MACHINE_THREE_PIPELINES_CALIBRATE_TUNE_FORGE_LOCKED_v1.md	4.0K	# Machine three pipelines — Calibrate · Tune · machine prove (LOCKED v
./MAC_GUARD_AGENCY_DEMO_SCRIPT_LOCKED_v1.md	4.0K	# Mac Guard Agency Demo Script — SUPERSEDED
./MAC_SNAPSHOT_PROMPT.txt	4.0K	MAC SNAPSHOT — run now
./META_REASONING_POLICY_STACK_LOCKED_v1.md	 24K	# Meta-Reasoning Policy Stack — Decision Governance Layer (LOCKED)
./N8N_AUTOMATION_EXECUTION_PLAN_LOCKED_v2.md	8.0K	# n8n Automation — Execution Plan (LOCKED)
./N8N_COMMERCIAL_GRADE_LOCKED_v1.md	4.0K	# n8n Commercial Grade — LOCKED v1
./N8N_FOUNDER_MASTER_CARD_LOCKED_v1.md	4.0K	# N8N Founder Master Card (LOCKED)
./NOETFIELD_CLOUD_GIT_AND_AGENT_ENTRY_UNIFIED_LOCKED_v1.md	8.0K	# Noetfield — cloud git, Mac hub, and agent entry (unified)
./NOETFIELD_COMPLIANCE_DEMO_SCRIPT_LOCKED_v1.md	8.0K	# Noetfield Compliance Demo Script — LOCKED v1
./NOETFIELD_FOUNDING_CUSTOMER_PILOT_ONEPAGER_LOCKED_v1.md	8.0K	# Noetfield — Founding Customer Pilot (NW1)
./NOETFIELD_FOUNDING_CUSTOMER_PILOT_ONEPAGER_MERGED_EXTERNAL_v1.md	4.0K	# Noetfield — Founding Customer Pilot (External Send)
./NOETFIELD_NW1_BATTLE_CARD_LOCKED_v1.md	8.0K	# Noetfield NW1 Battle Card — LOCKED v1
./ORDER_GUARDIAN_AGENT_LOCKED_v1.md	4.0K	# Order Guardian — in-app task orders agent (LOCKED)
./PHASE1_UNIFIED_BLUEPRINT_v2_3.md	 36K	> **INTERNAL ONLY — Phase 1 work plan — NOT SSOT.**
./PLAN_STATUS_VOCAB_LOCKED_v1.md	4.0K	# Plan status vocabulary + factory scoring vs growth (LOCKED)
./PORT_NOTICE_BOARD.md	4.0K	# PORT NOTICE BOARD (live — agents read this first)
./PORT_NOTICE_BOARD_LOCKED_v1.md	4.0K	# Port Notice Board — LOCKED (agent entry point)
./PORT_REGISTRY.md	8.0K	# Port Registry (live — do not edit by hand)
./PRODUCT_FACTORY_ROADMAP_LOCKED_v1.md	4.0K	# Product factory roadmap — LOCKED v1
./PROMPT_OS_CORE_MVP_BUILD_ORDER_LOCKED_v1.md	8.0K	# Prompt OS Core — MVP Build Order (LOCKED)
./README_SOURCE_A.md	4.0K	# Source A — read this first
./REFINEMENT_UNIFIED_AGENT_MACHINE_LOCKED_v1.md	8.0K	# Refinement unified — Agent · Machine · Founder (LOCKED v1)
./RESEARCH_INTAKE_AND_SAVE_LOCK_LOCKED_v1.md	8.0K	# Research intake & save — LOCKED v1
./RUN_INBOX_DISK_TRUTH_EXECUTION_LOCKED_v1.md	4.0K	# Run inbox disk truth execution (LOCKED v1)
./SECRETS_VAULT.md	4.0K	# Sina Secret Vault (one place)
./SINAAI_10X_AUTOMATION_ARCHITECTURE_LOCKED_v1.md	8.0K	# Sinaai — 10x Automation Architecture (LOCKED)
./SINAAI_AGENTS_AND_AUTOMATION_UNIFIED_BLUEPRINT_LOCKED_v1.md	 24K	# Sinaai — Agents & Automation Unified Blueprint (LOCKED)
./SINAAI_AGENT_STACK_POLICY_v1.md	8.0K	# Sinaai Agent Stack Policy — One Pager
./SINAAI_AGENT_YAML_INGEST_LOCKED_v1.md	8.0K	# Sinaai Agent YAML Ingest & Self-Healing Loop — FINAL LOCKED
./SINAAI_ARCHITECT_V2_INDUSTRIAL_POLICY_LOCKED_v1.md	4.0K	# Architect v2 — Industrial System Cleaner (LOCKED)
./SINAAI_AUTO_PASTE_INCIDENT_REPORT_LOCKED_v1.md	4.0K	# MOVED — canonical SSOT
./SINAAI_ECOSYSTEM_FINAL_STATE_AND_NEXT_PLAN_LOCKED_v1.md	8.0K	# Sinaai Ecosystem — Final State & Next Plan (LOCKED)
./SINAAI_EXECUTION_TRUTH_LAYER_LOCKED_v1.md	8.0K	# Sinaai — Execution Truth Layer (LOCKED)
./SINAAI_FAST_TRACK_FORCE_MAJEURE_LOCKED_v1.md	4.0K	# FAST TRACK — FORCE MAJEURE (LOCKED)
./SINAAI_MASTER_BLUEPRINT_END_TO_END_v1.md	 24K	# Sinaai — Master Blueprint (End-to-End)
./SINAAI_MASTER_PLAN_FA_SHARE_v1.md	 16K	# برنامهٔ جامع اکوسیستم سینا — نقشهٔ شهر، مراحل M، تلگرام، و گام‌های ب
./SINAAI_PARALLEL_LANES_NO_BLOCK_PROGRESS_LOCKED_v1.md	4.0K	# Parallel lanes — repo work MUST NOT block wire progress (LOCKED)
./SINAAI_PERMANENT_ARCHITECT_AGENT_LOCKED_v1.md	4.0K	# Permanent Architect Agent — LOCKED
./SINAAI_PHASE1_STABILIZATION_ONLY_LOCKED_v1.md	4.0K	# Phase 1 stabilization ONLY — scope freeze (LOCKED)
./SINAAI_PHASE2_AI_CONTROLLED_EXECUTION_LOCKED_v1.md	8.0K	# Sinaai — Phase 2: AI-Controlled Execution OS (LOCKED)
./SINAAI_PORT_REGISTRY_LAW_LOCKED_v1.md	8.0K	# Sinaai — Port Registry Law (LOCKED)
./SINAAI_PROMPT_OS_CORE_FINAL_DECISION_LOCKED_v1.md	8.0K	# Sinaai — Prompt OS Core Final Decision (LOCKED)
./SINA_ADVISOR_CURSOR_CONNECT_v1.md	4.0K	# Connect Cursor as Advisor in Sina Command
./SINA_ADVISOR_TRACK_OPERATIONAL_POINTER_LOCKED_v1.md	4.0K	# Advisor track — operational pointer (LOCKED v1)
./SINA_APPS_GUIDE_FOR_SINA_v1.md	4.0K	# Sina apps — teacher guide (for Sina)
./SINA_AUTOMATION_SPINE_AND_N8N_LOCKED_v1.md	4.0K	# Automation spine + n8n (LOCKED)
./SINA_BRAIN_JOB_TITLES_COMPREHENSIVE_LOCKED_v1.md	 28K	# Sina Brain — Job Titles Comprehensive Manual (LOCKED v1)
./SINA_BRAIN_JOB_TITLES_DAILY_ONE_PAGE_LOCKED_v1.md	4.0K	# Brain Daily Card — One Page (LOCKED v1)
./SINA_BRAIN_JOB_TITLES_LOCKED_v1.md	8.0K	# Sina Brain — Job Titles Catalog (LOCKED v1)
./SINA_BRAIN_PLATFORM_UNIFICATION_LOCKED_v1.md	 12K	# Sina Brain — Platform Unification (LOCKED v1)
./SINA_CURSOR_PROMPT_QUEUE_ORDER_v1.md	8.0K	# Order for Cursor agents — Prompt queue (LOCKED)
./SINA_DAILY_BOWL_LOCKED_v1.md	4.0K	# Sina Daily Bowl — unified morning read (LOCKED)
./SINA_EXECUTION_INTELLIGENCE_STACK_LOCKED_v1.md	8.0K	# Execution Intelligence Stack — locked plan & next goals
./SINA_HUB_E2E_CANCELLED_LOCKED_v1.md	4.0K	# SINA Hub E2E — CANCELLED (LOCKED · founder directive · 2026-06-10)
./SINA_HUB_ESSENTIALS_LOCKED_v1.md	4.0K	# Hub Essentials — locked unified map law
./SINA_JUDGE_STACK_LOCKED_v1.md	4.0K	# Sina Judge Stack — LOCKED v1
./SINA_LOOP_PORTFOLIO_PACKS_v1.md	4.0K	# Sina Command — private agent loop packs (100 + 10)
./SINA_MAC_HEALTH_GUARD_LOCKED_v1.md	8.0K	# Mac Health Guard — locked mini app law
./SINA_MONITOR_BRAIN_COLUMN_SNAPSHOT_DRIFT_INCIDENT_014_REPORT_LOCKED_v1.md	4.0K	# INCIDENT-014 — Monitor Brain column PEND (snapshot drift) — pointer
./SINA_MONITOR_FOUNDER_SCROLL_RESPECT_INCIDENT_018_REPORT_LOCKED_v1.md	4.0K	# INCIDENT-018 pointer — Monitor forced auto-scroll
./SINA_MULTIDIMENSIONAL_ENGINE_MAP_LOCKED_v1.md	 12K	# Sina Multidimensional Parallel Engine — Master Map (LOCKED v1)
./SINA_P0_PORTFOLIO_AUTOMATION_AND_EVIDENCE_LAW_DRAFT_v1.md	 16K	# Sina P0 Portfolio — Automation, Evidence & Agentic Operations Law (D
./SINA_P0_PORTFOLIO_AUTOMATION_AND_EVIDENCE_LAW_LOCKED_v1.md	 16K	# Sina P0 Portfolio — Automation, Evidence & Agentic Operations Law (L
./SINA_PERSONAL_DATABASE_LAYER_A_LOCKED_v1.md	4.0K	# Personal Database (Layer A) — locked law
./SINA_POISON_TRACKING_METHOD_LOCKED_v1.md	 16K	# Sina poison tracking method — PT-METHOD (LOCKED v1)
./SINA_POST_CLAUDE_ANALYSIS_SHIP_READY_COMPANION_v1.md	 12K	# Post–Claude Analysis · Ship-Ready Companion (v1)
./SINA_POST_CLOUD_ANALYSIS_SHIP_READY_COMPANION_v1.md	4.0K	# RENAMED — was mislabeled “cloud”
./SINA_PRE_LLM_WORLD_MODEL_ROADMAP_LOCKED_v2.md	4.0K	# MOVED — canonical SSOT
./SINA_PROHIBITION_INSTEAD_OF_DISK_WIRE_INCIDENT_034_REPORT_LOCKED_v1.md	4.0K	# INCIDENT-034 report — Prohibition instead of disk live wire
./SINA_PROMPT_FAST_LOOP_LOCKED_v1.md	8.0K	# Sina Prompt-Fast Loop — Canonical 10 (LOCKED)
./SINA_PROMPT_OS_CORE_v1.md	4.0K	# Sina Prompt OS — Index (subordinate)
./SINA_PROMPT_OS_SYSTEM_LOCKED_v1.md	 16K	# Sina Prompt OS — System Definition (LOCKED)
./SINA_REGISTRY_BATCH_FAKE_PROGRESS_INCIDENT_REPORT_LOCKED_v1.md	4.0K	# REGISTRY batch fake progress — incident report (pointer)
./SINA_RUNTIME_STACK_LOCKED_v1.md	8.0K	# Runtime Stack — Locked Plan (Phase 2)
./SINA_S10_WRONG_BASH_CWD_INCIDENT_019_REPORT_LOCKED_v1.md	4.0K	# SUPERSEDED — wrong topic (S10 conflated with bash communication)
./SINA_SEMEJ_AGENT_v1.md	4.0K	# SEMEJ — multi-AI Chrome agent
./SINA_SEMI_SEPARATE_AGENT_NOTICE_LOCKED_v1.md	4.0K	# Semi-separate Cursor lanes — agent notice (locked)
./SINA_STATIC_PROMPT_FEED_STALE_LIST_INCIDENT_024_REPORT_LOCKED_v1.md	4.0K	# INCIDENT-024 pointer — Static Prompt feed stale 10-pack
./SINA_THREAD_ACTIVATION_AND_READINESS_LOCKED_v1.md	 12K	# Sina Thread Activation & Test Readiness (LOCKED v1)
./SINA_THREAD_ROOM_LOCKED_v1.md	4.0K	# Sina Thread Room — LOCKED v1
./SINA_THUNDERFIELD_VC_LEGAL_RELATIONSHIP_PLATFORM_LOCKED_v1.md	 16K	# Thunderfield — VC Legal Protection & Relationship Platform (LOCKED v
./SINA_VOYAGE_P05_FAKE_GREEN_STALE_LABELS_INCIDENT_036_REPORT_LOCKED_v1.md	4.0K	# Voyage P05 fake-green stale labels — incident report (pointer)
./SINA_WORKER_AUTORUN_STALL_AND_TIMING_INCIDENT_REPORT_LOCKED_v1.md	4.0K	# Worker auto-run stall & timing — incident report (pointer)
./SINA_WORKER_IGNORED_ASF_NO_HUB_STOP_STALE_STEERING_INCIDENT_031_REPORT_LOCKED_v1.md	4.0K	# INCIDENT-031 — Worker ignored ASF no-hub stop (pointer)
./SINA_WORKER_INCIDENT_028_REPEAT_REPORT_LOCKED_v1.md	4.0K	# INCIDENT-028-REPEAT — Worker stale close-line (pointer)
./SINA_WORKER_SESSION_MISTAKES_CLOSEOUT_INCIDENT_REPORT_LOCKED_v1.md	4.0K	# Worker session mistakes & closeout — incident report (pointer)
./SINA_WORKER_STALE_GOAL_PROGRESS_CHAT_INCIDENT_012_REPORT_LOCKED_v1.md	4.0K	# SUPERSEDED — use INCIDENT-013
./SINA_WORKER_STALE_GOAL_PROGRESS_CHAT_INCIDENT_013_REPORT_LOCKED_v1.md	4.0K	# Worker stale goal_progress chat parrot — INCIDENT-013 (pointer)
./SINA_WORKER_STALE_GOAL_PROGRESS_CHAT_REPORT_INCIDENT_REPORT_LOCKED_v1.md	4.0K	# Worker chat stale goal_progress & false repeating steps — incident r
./SINA_WORKER_YAML_ONLY_CLOSEOUT_FAKE_GREEN_INCIDENT_030_REPORT_LOCKED_v1.md	4.0K	# INCIDENT-030 — Worker YAML-only closeout fake green (report pointer)
./SOURCE_A_DOCUMENT_SEQUENCE_REGISTRY_LOCKED_v1.md	 12K	# Source A — Document Sequence & Dating Registry (LOCKED)
./STALE_ADVICE_RESULTS_POLICY_OWNERSHIP_TRACKING_LOCKED_v1.md	 12K	# Stale advice — results policy · ownership · tracking (LOCKED v1)
./START_HERE.md	4.0K	# SourceA — start here
./STRATEGIC_NEXT_STEPS_SYNTHESIS_LOCKED_v2.md	8.0K	# Strategic next steps — big picture synthesis (LOCKED v2)
./TASK_ORDERS_OPEN_REGISTER_LOCKED_v1.md	4.0K	# Task orders — open register (LOCKED v1)
./TRUSTFIELD_ENTITY_CORRECTION_v3_1.md	4.0K	# TrustField entity correction — APPLIED v3.1
./TRUST_LEDGER_SCHEMA_LOCKED_v1.md	4.0K	# Trust ledger schema (LOCKED v1)
./UNDERSTANDING_ROLES_CURSOR_ECOSYSTEM_v1.md	 12K	# Understanding roles — Cursor & agent ecosystem (ASF reference)
./VIRELUX_REPO_ALIGNMENT.md	4.0K	# VIRLUX repo alignment — DESIGN ↔ DELIVERY bridge
./WIRE_LANE_PROGRESS.md	4.0K	# Wire lane progress — single checklist (ASF)
./WORKER_FAST_ANTI_STALENESS_AUTO_HEAL_LOCKED_v1.md	4.0K	# Worker — Fast Anti-Staleness Auto-Heal (LOCKED v1)
./WORKER_FULL_ROUND_EVIDENCE_ENFORCEMENT_LOCKED_v1.md	4.0K	# Worker full-round evidence enforcement (pointer)
./WORKER_NO_SLOW_VERIFY_SHELL_LOCKED_v1.md	4.0K	# Worker — No Slow VERIFY Shell (LOCKED v1)
./WORLD_TARGET_MODEL_ARCHITECTURE_DIAGRAM_LOCKED_v1.md	4.0K	# MOVED — canonical SSOT
./WORLD_TARGET_MODEL_AUTHORITY_LAW_LOCKED_v1.md	4.0K	# MOVED — canonical SSOT
./WORLD_TARGET_MODEL_FULL_BLUEPRINT_FOR_REVIEW_v1.md	4.0K	# MOVED — canonical SSOT
./WORLD_TARGET_MODEL_FULL_BLUEPRINT_FOR_REVIEW_v2.md	4.0K	# MOVED — canonical SSOT
./WORLD_TARGET_MODEL_MAP_LOCKED_v5.md	4.0K	# MOVED — canonical SSOT
./WORLD_TARGET_MODEL_PHASE_NAMING_INCIDENT_REPORT_LOCKED_v1.md	4.0K	# MOVED — canonical SSOT
./WORLD_TARGET_MODEL_ROADMAP_LAW_LOCKED_v2.md	4.0K	# MOVED — canonical SSOT
./WORLD_TARGET_MODEL_STEP_ID_MIGRATION_LOCKED_v1.md	4.0K	# MOVED — canonical SSOT
./WORLD_TARGET_MODEL_UI_INCIDENT_REPORT_LOCKED_v1.md	4.0K	# MOVED — canonical SSOT
./WORLD_TARGET_MODEL_UI_RESEARCH_LOCKED_v1.md	4.0K	# MOVED — canonical SSOT
./sourcea-site-v1-QUARANTINE.md	4.0K	# SourceA Site v1 — QUARANTINED (UI experiment)
